"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 15:47:11 GMT 2021","Sun Aug 22 15:47:21 GMT 2021","10486","","input_data_from_source.SubscriptionForNewsLetterTest","","input_data_from_source.SubscriptionForNewsLetterTest","testSuccessfulSubscribtionForNewsLetter","TC9 It subscribes as many newsletter as there are users in json file.",""
"passed","Sun Aug 22 15:48:02 GMT 2021","Sun Aug 22 15:48:12 GMT 2021","10379","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC2",""
"passed","Sun Aug 22 15:47:21 GMT 2021","Sun Aug 22 15:47:30 GMT 2021","8737","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","TC7 It tests the brand filter by entering a brand and then modifying it with a sub brand.",""
"passed","Sun Aug 22 15:46:52 GMT 2021","Sun Aug 22 15:47:03 GMT 2021","11201","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC4 It should log out succesfully",""
"passed","Sun Aug 22 15:47:52 GMT 2021","Sun Aug 22 15:48:02 GMT 2021","9777","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","TC3",""
"passed","Sun Aug 22 15:47:43 GMT 2021","Sun Aug 22 15:47:52 GMT 2021","9188","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","TC11 The page must contain elements that match the filter criteria.",""
"passed","Sun Aug 22 15:48:12 GMT 2021","Sun Aug 22 15:49:15 GMT 2021","62595","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","TC8 All result must include the filtered brand.",""
"passed","Sun Aug 22 15:49:15 GMT 2021","Sun Aug 22 15:49:34 GMT 2021","19149","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","TC5 It should delete a Led monitor from the cart.",""
"passed","Sun Aug 22 15:49:34 GMT 2021","Sun Aug 22 15:50:09 GMT 2021","35523","","registration.RegistrationTest","","registration.RegistrationTest","testSuccessfulRegistration","TC1 Succesful registration",""
"passed","Sun Aug 22 15:47:03 GMT 2021","Sun Aug 22 15:47:11 GMT 2021","7708","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","TC10 The privacy policy page should contain the capters stored in the class PrivacyPolicyPage.",""
"passed","Sun Aug 22 15:47:30 GMT 2021","Sun Aug 22 15:47:43 GMT 2021","12635","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testModifyRegisteredName","TC6 It should modify the first name of the user.",""
